ticket_id,category,priority,description,status,assigned_to,created_at,resolution_time_hours
4001,Network,Critical,Ticket 1 issue reported by user,Resolved,IT_Support_B,2024-03-11 15:00:00,22
4002,Software,High,Ticket 2 issue reported by user,Open,Admin,2024-03-15 08:00:00,0
4003,Software,Low,Ticket 3 issue reported by user,Waiting for User,IT_Support_A,2024-06-30 10:00:00,0
4004,Software,High,Ticket 4 issue reported by user,Resolved,IT_Support_A,2024-08-17 10:00:00,76
4005,Hardware,Medium,Ticket 5 issue reported by user,Open,IT_Support_C,2024-03-02 17:00:00,0
4006,Software,Medium,Ticket 6 issue reported by user,Resolved,IT_Support_A,2024-03-07 15:00:00,43
4007,Security,Medium,Ticket 7 issue reported by user,In Progress,Admin,2024-07-08 09:00:00,0
4008,Hardware,Low,Ticket 8 issue reported by user,In Progress,IT_Support_B,2024-01-04 08:00:00,0
4009,Security,Critical,Ticket 9 issue reported by user,Waiting for User,IT_Support_B,2024-10-04 18:00:00,0
4010,Security,Medium,Ticket 10 issue reported by user,Waiting for User,Admin,2024-08-05 08:00:00,0
4011,Security,Critical,Ticket 11 issue reported by user,Open,IT_Support_C,2024-11-14 12:00:00,0
4012,Security,High,Ticket 12 issue reported by user,Waiting for User,Admin,2024-12-09 10:00:00,0
4013,Security,Low,Ticket 13 issue reported by user,Waiting for User,Admin,2024-12-17 13:00:00,0
4014,Hardware,Low,Ticket 14 issue reported by user,Open,IT_Support_C,2024-11-13 15:00:00,0
4015,Hardware,Medium,Ticket 15 issue reported by user,In Progress,Admin,2024-09-20 11:00:00,0
4016,Software,Critical,Ticket 16 issue reported by user,Open,Admin,2024-03-11 16:00:00,0
4017,Hardware,Critical,Ticket 17 issue reported by user,Waiting for User,IT_Support_B,2024-12-09 08:00:00,0
4018,Software,Medium,Ticket 18 issue reported by user,In Progress,IT_Support_C,2024-12-23 09:00:00,0
4019,Network,Critical,Ticket 19 issue reported by user,Waiting for User,IT_Support_A,2024-08-08 20:00:00,0
4020,Security,Critical,Ticket 20 issue reported by user,Open,Admin,2024-10-12 11:00:00,0
4021,Security,High,Ticket 21 issue reported by user,Resolved,IT_Support_C,2024-06-14 11:00:00,64
4022,Security,Critical,Ticket 22 issue reported by user,In Progress,IT_Support_B,2024-04-07 20:00:00,0
4023,Software,High,Ticket 23 issue reported by user,Resolved,IT_Support_B,2024-12-11 18:00:00,2
4024,Hardware,Critical,Ticket 24 issue reported by user,Waiting for User,IT_Support_C,2024-10-18 19:00:00,0
4025,Software,Critical,Ticket 25 issue reported by user,In Progress,IT_Support_C,2024-02-28 17:00:00,0
4026,Hardware,Medium,Ticket 26 issue reported by user,Resolved,IT_Support_A,2024-02-13 10:00:00,63
4027,Software,Low,Ticket 27 issue reported by user,Resolved,IT_Support_A,2024-07-08 11:00:00,96
4028,Software,Low,Ticket 28 issue reported by user,Open,Admin,2024-07-13 20:00:00,0
4029,Hardware,Medium,Ticket 29 issue reported by user,Resolved,IT_Support_A,2024-12-23 17:00:00,53
4030,Software,Medium,Ticket 30 issue reported by user,Resolved,IT_Support_C,2024-09-17 15:00:00,86
4031,Hardware,High,Ticket 31 issue reported by user,Open,IT_Support_C,2024-10-17 12:00:00,0
4032,Hardware,Medium,Ticket 32 issue reported by user,Resolved,Admin,2024-07-23 14:00:00,85
4033,Network,Low,Ticket 33 issue reported by user,Resolved,IT_Support_B,2024-01-23 14:00:00,51
4034,Security,Medium,Ticket 34 issue reported by user,In Progress,IT_Support_A,2024-03-04 15:00:00,0
4035,Network,Low,Ticket 35 issue reported by user,In Progress,IT_Support_B,2024-09-02 15:00:00,0
4036,Network,High,Ticket 36 issue reported by user,Waiting for User,IT_Support_B,2024-04-21 19:00:00,0
4037,Security,Critical,Ticket 37 issue reported by user,In Progress,IT_Support_A,2024-12-19 11:00:00,0
4038,Hardware,High,Ticket 38 issue reported by user,Open,IT_Support_C,2024-04-22 12:00:00,0
4039,Software,Low,Ticket 39 issue reported by user,Resolved,IT_Support_B,2024-03-30 13:00:00,69
4040,Software,Medium,Ticket 40 issue reported by user,Waiting for User,IT_Support_B,2024-08-28 11:00:00,0
4041,Software,Medium,Ticket 41 issue reported by user,Resolved,IT_Support_C,2024-04-26 13:00:00,7
4042,Hardware,High,Ticket 42 issue reported by user,Open,IT_Support_B,2024-11-24 18:00:00,0
4043,Security,Medium,Ticket 43 issue reported by user,Waiting for User,IT_Support_C,2024-05-10 17:00:00,0
4044,Hardware,Low,Ticket 44 issue reported by user,Waiting for User,IT_Support_C,2024-08-19 12:00:00,0
4045,Hardware,Critical,Ticket 45 issue reported by user,Resolved,Admin,2024-05-24 14:00:00,39
4046,Hardware,Critical,Ticket 46 issue reported by user,Open,IT_Support_C,2024-04-25 19:00:00,0
4047,Software,Critical,Ticket 47 issue reported by user,Resolved,IT_Support_A,2024-07-18 20:00:00,20
4048,Software,Critical,Ticket 48 issue reported by user,Waiting for User,Admin,2024-08-27 14:00:00,0
4049,Security,Critical,Ticket 49 issue reported by user,In Progress,IT_Support_C,2024-09-24 20:00:00,0
4050,Hardware,High,Ticket 50 issue reported by user,Open,IT_Support_C,2024-10-03 19:00:00,0
